StudyID,ID1,ID2
A0011,027ad1,027ad2
C0022,163cd1,163cd2
F0044,341fd1,341fd2
B0055,119bd1,119bd2
C0066,203cd1,203cd2
D0077,224dd1,224dd2
B0088,105bd1,105bd2
F0101,334fd1,334fd2
A0112,035ad1,035ad2
F0123,354fd1,354fd2
F0134,358fd1,358fd2
F0156,331fd1,331fd2
C0167,140cd1,140cd2
C0178,172cd1,172cd2
A0189,059ad1,059ad2
B0190,111bd1,111bd2
A0202,018ad1,018ad2
D0213,226dd1,226dd2
E0224,284ed1,284ed2
F0235,344fd1,344fd2
A0246,053ad1,053ad2
C0268,199cd1,199cd2
E0279,295ed1,295ed2
E0280,322ed1,322ed2
D0314,264dd1,264dd2
D0314,264dd1,264dd2
F0358,375fd1,375fd2
C0369,159cd1,159cd2
D0370,222dd1,222dd2
E0381,307ed1,307ed2
E0392,273ed1,273ed2
B0415,103bd1,103bd2
A0426,033ad1,033ad2
C0437,193cd1,193cd2
E0448,309ed1,309ed2
A0459,040ad1,040ad2
A0471,016ad1,016ad2
B0482,112bd1,112bd2
E0505,282ed1,282ed2
A0527,049ad1,049ad2
E0549,297ed1,297ed2
E0550,308ed1,308ed2
A0561,063ad1,063ad2
D0572,258dd1,258dd2
A0594,017ad1,017ad2
D0606,228dd1,228dd2
A0617,020ad1,020ad2
A0639,047ad1,047ad2
E0640,329ed1,329ed2
A0651,004ad1,004ad2
A0673,067ad1,067ad2
E0695,288ed1,288ed2
B0763,098bd1,098bd2
B0774,090bd1,090bd2
D0785,215dd1,215dd2
C0820,188cd1,188cd2
C0842,177cd1,177cd2
D0875,238dd1,238dd2
F0886,370fd1,370fd2
A0897,008ad1,008ad2
C0910,167cd1,167cd2
D0921,240dd1,240dd2
D0932,212dd1,212dd2
E0943,277ed1,277ed2
A0954,057ad1,057ad2
C0976,145cd1,145cd2
D1012,213dd1,213dd2
D1056,266dd1,266dd2
E1067,311ed1,311ed2
D1078,225dd1,225dd2
A1089,055ad1,055ad2
E1090,313ed1,313ed2
C1135,184cd1,184cd2
B1157,094bd1,094bd2
C1168,164cd1,164cd2
D1179,256dd1,256dd2
C1180,161cd1,161cd2
F1191,351fd1,351fd2
D1203,206dd1,206dd2
B1214,100bd1,100bd2
C1225,197cd1,197cd2
C1269,146cd1,146cd2
D1292,242dd1,242dd2
A1315,060ad1,060ad2
C1326,162cd1,162cd2
F1337,357fd1,357fd2
A1348,068ad1,068ad2
A1360,038ad1,038ad2
D1371,261dd1,261dd2
F1382,368fd1,368fd2
E1393,283ed1,283ed2
F1405,336fd1,336fd2
D1438,252dd1,252dd2
F1449,378fd1,378fd2
F1450,363fd1,363fd2
A1461,024ad1,024ad2
D1540,221dd1,221dd2
A1573,036ad1,036ad2
E1618,321ed1,321ed2
D1641,262dd1,262dd2
A1685,029ad1,029ad2
D1696,205dd1,205dd2
D1742,218dd1,218dd2
A1753,028ad1,028ad2
D1810,220dd1,220dd2
E1821,299ed1,299ed2
C1843,187cd1,187cd2
D1854,216dd1,216dd2
D1865,254dd1,254dd2
F1898,340fd1,340fd2
D1900,265dd1,265dd2
D1911,211dd1,211dd2
B1933,091bd1,091bd2
E1966,318ed1,318ed2
D2002,244dd1,244dd2
B2013,130bd1,130bd2
F2024,386fd1,386fd2
B2035,088bd1,088bd2
A2057,022ad1,022ad2
F2068,369fd1,369fd2
C2080,171cd1,171cd2
F2103,347fd1,347fd2
B2114,070bd1,070bd2
B2125,106bd1,106bd2
D2147,235dd1,235dd2
C2158,152cd1,152cd2
E2170,310ed1,310ed2
C2192,198cd1,198cd2
E2215,275ed1,275ed2
E2260,301ed1,301ed2
D2271,249dd1,249dd2
E2361,290ed1,290ed2
D2372,251dd1,251dd2
E2394,324ed1,324ed2
B2451,095bd1,095bd2
B2462,110bd1,110bd2
C2473,202cd1,202cd2
C2473,202cd1,202cd2
D2608,239dd1,239dd2
E2619,306ed1,306ed2
C2631,166cd1,166cd2
C2642,191cd1,191cd2
B2653,083bd1,083bd2
B2686,089bd1,089bd2
F2721,371fd1,371fd2
E2732,319ed1,319ed2
B2743,080bd1,080bd2
B2754,131bd1,131bd2
A2765,005ad1,005ad2
E2776,328ed1,328ed2
B2787,072bd1,072bd2
A2798,051ad1,051ad2
D2800,246dd1,246dd2
B2811,075bd1,075bd2
C2844,185cd1,185cd2
F2866,337fd1,337fd2
B2877,121bd1,121bd2
C2888,168cd1,168cd2
A2899,023ad1,023ad2
A2901,046ad1,046ad2
F2923,348fd1,348fd2
A2934,011ad1,011ad2
C2945,173cd1,173cd2
E2956,304ed1,304ed2
A2967,010ad1,010ad2
B2978,084bd1,084bd2
F2989,364fd1,364fd2
E3003,294ed1,294ed2
D3025,270dd1,270dd2
B3036,118bd1,118bd2
F3047,355fd1,355fd2
A3058,058ad1,058ad2
F3069,380fd1,380fd2
F3070,338fd1,338fd2
C3092,151cd1,151cd2
C3104,176cd1,176cd2
C3115,180cd1,180cd2
F3126,360fd1,360fd2
D3137,248dd1,248dd2
C3148,200cd1,200cd2
F3182,339fd1,339fd2
A3193,043ad1,043ad2
E3205,303ed1,303ed2
B3216,101bd1,101bd2
B3227,079bd1,079bd2
C3261,196cd1,196cd2
B3272,113bd1,113bd2
B3283,099bd1,099bd2
A3294,002ad1,002ad2
D3317,227dd1,227dd2
A3328,054ad1,054ad2
A3339,025ad1,025ad2
B3340,096bd1,096bd2
A3351,042ad1,042ad2
B3362,077bd1,077bd2
E3373,287ed1,287ed2
E3384,279ed1,279ed2
C3395,154cd1,154cd2
E3407,320ed1,320ed2
D3418,217dd1,217dd2
C3429,181cd1,181cd2
A3430,066ad1,066ad2
F3452,372fd1,372fd2
E3463,330ed1,330ed2
A3474,001ad1,001ad2
D3485,210dd1,210dd2
C3496,147cd1,147cd2
D3508,232dd1,232dd2
D3508,232dd1,232dd2
A3520,039ad1,039ad2
B3531,120bd1,120bd2
D3542,243dd1,243dd2
B3575,071bd1,071bd2
C3586,169cd1,169cd2
C3597,156cd1,156cd2
F3609,366fd1,366fd2
E3610,281ed1,281ed2
D3621,255dd1,255dd2
E3632,312ed1,312ed2
D3643,234dd1,234dd2
C3665,144cd1,144cd2
C3676,157cd1,157cd2
B3687,129bd1,129bd2
C3698,174cd1,174cd2
F3722,350fd1,350fd2
F3733,376fd1,376fd2
B3744,069bd1,069bd2
F3755,332fd1,332fd2
A3799,048ad1,048ad2
B3812,102bd1,102bd2
C3834,143cd1,143cd2
D3867,272dd1,272dd2
